date,views
2016-12-23,19
2016-12-24,15
2016-12-25,18
2016-12-26,15
2016-12-27,12
2016-12-28,12
2016-12-29,19
2016-12-30,9
2016-12-31,4
2017-01-01,13
2017-01-02,11
2017-01-03,9
2017-01-04,5
2017-01-05,13
2017-01-06,8
2017-01-07,4
2017-01-08,9
2017-01-09,11
2017-01-10,5
2017-01-11,3
2017-01-12,6
2017-01-13,5
2017-01-14,5
2017-01-15,4
2017-01-16,5
2017-01-17,2
2017-01-18,3
2017-01-19,5
2017-01-20,4
2017-01-21,1
2017-01-22,1
2017-01-23,2
2017-01-24,5
2017-01-25,5
2017-01-27,3
2017-01-28,5
2017-01-29,3
2017-01-30,4
2017-01-31,4
2017-02-01,3
2017-02-02,7
2017-02-03,2
2017-02-04,2
2017-02-05,3
2017-02-06,4
2017-02-07,4
2017-02-08,8
2017-02-09,4
2017-02-10,8
2017-02-11,11
2017-02-12,6
2017-02-13,9
2017-02-14,4
2017-02-15,3
2017-02-16,4
2017-02-17,7
2017-02-18,5
2017-02-19,6
2017-02-20,6
2017-02-21,10
2017-02-22,8
2017-02-23,10
2017-02-24,14
2017-02-25,10
2017-02-26,11
2017-02-27,18
2017-02-28,4
2017-03-01,7
2017-03-02,5
2017-03-03,13
2017-03-04,8
2017-03-06,3
2017-03-07,9
2017-03-08,6
2017-03-09,6
2017-03-10,5
2017-03-11,10
2017-03-12,3
2017-03-13,5
2017-03-14,3
2017-03-15,3
2017-03-16,4
2017-03-17,5
2017-03-18,9
2017-03-19,3
2017-03-20,3
2017-03-21,6
2017-03-22,7
2017-03-23,3
2017-03-24,1
2017-03-25,7
2017-03-26,2
2017-03-27,5
2017-03-28,6
2017-03-29,1
2017-03-30,7
2017-03-31,3
2017-04-01,8
2017-04-02,4
2017-04-03,5
2017-04-04,1
2017-04-05,12
2017-04-06,5
2017-04-07,3
2017-04-08,5
2017-04-09,2
2017-04-10,3
2017-04-11,9
2017-04-12,57
2017-04-13,6
2017-04-14,2
2017-04-15,7
2017-04-16,7
2017-04-17,2
2017-04-18,7
2017-04-19,3
2017-04-20,4
2017-04-21,5
2017-04-22,1
2017-04-23,2
2017-04-24,3
2017-04-25,5
